lead_id,connector_id,region,segment,product,lead_date,approved,disbursed,tat_days,disbursal_amount
LD10292,CN1000,Pune,Direct Sales,Business Loan,2026-05-15,True,True,13.0,2299000.0
LD10293,CN1028,Mumbai,Aggregator,Business Loan,2026-04-15,False,False,,0.0
LD10294,CN1013,Chennai,Aggregator,Personal Loan,2026-03-27,True,True,23.0,997000.0
LD10295,CN1001,Chennai,Digital Partner,LAP,2026-02-08,True,True,6.0,2296000.0
LD10296,CN1012,Hyderabad,Aggregator,LAP,2026-04-11,True,True,4.0,808000.0
LD10297,CN1052,Delhi NCR,DSA,Business Loan,2026-03-26,False,False,,0.0
LD10298,CN1040,Mumbai,Digital Partner,Personal Loan,2026-04-19,True,True,11.0,492000.0
LD10299,CN1052,Delhi NCR,DSA,Home Loan,2026-03-29,False,False,,0.0
LD10300,CN1024,Hyderabad,Aggregator,Business Loan,2026-02-19,True,True,4.0,775000.0
LD10301,CN1015,Pune,Aggregator,Personal Loan,2026-05-10,False,False,,0.0
